Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
7.251209,0.0610000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9960000,0.00000,4.40000,-10.40000
7.301240,0.0610000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9980000,0.10000,4.50000,-10.50000
7.350570,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9990000,0.10000,4.40000,-10.60000
7.400921,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9960000,0.00000,4.40000,-10.50000
7.450628,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0120000,0.9980000,0.00000,4.40000,-10.50000
7.504287,-0.0610000,-0.0000000,0.0000000,-0.0020000,-0.0100000,0.9980000,0.00000,4.50000,-10.60000
7.550497,-0.0000000,-0.0000000,0.0000000,0.0020000,-0.0120000,0.9960000,0.00000,4.40000,-10.60000
7.603816,0.0610000,-0.0000000,0.0000000,0.0020000,-0.0110000,0.9970000,0.00000,4.30000,-10.60000
7.649830,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9980000,0.10000,4.40000,-10.60000
7.706908,-0.0000000,-0.0610000,0.0000000,0.0030000,-0.0130000,0.9980000,0.10000,4.40000,-10.60000
7.749964,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9970000,0.00000,4.30000,-10.50000
7.810397,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0110000,0.9980000,0.00000,4.30000,-10.60000
7.849675,-0.0000000,-0.0000000,0.0000000,0.0030000,-0.0120000,0.9970000,0.00000,4.30000,-10.60000
7.910937,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0120000,0.9980000,0.00000,4.40000,-10.60000
7.950036,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0130000,0.9970000,0.10000,4.40000,-10.60000
8.001825,-0.0000000,-0.0000000,0.0000000,0.0040000,-0.0130000,0.9950000,0.00000,4.50000,-10.60000
8.049753,-0.0000000,-0.0610000,0.0000000,-0.0020000,-0.0110000,0.9980000,0.00000,4.40000,-10.60000
8.099090,-0.0000000,-0.0000000,0.0000000,0.0020000,-0.0120000,0.9950000,0.00000,4.40000,-10.50000
8.149036,-0.0000000,-0.0000000,0.0000000,0.0030000,-0.0130000,0.9960000,0.00000,4.40000,-10.60000
8.198608,-0.0000000,-0.0000000,0.0000000,-0.0030000,-0.0100000,0.9980000,0.00000,4.40000,-10.50000
8.248772,-0.0000000,-0.0000000,0.0000000,0.0040000,-0.0130000,0.9950000,0.00000,4.30000,-10.60000
8.298587,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9950000,0.00000,4.30000,-10.50000
8.350621,-0.0000000,-0.0000000,0.0000000,-0.0030000,-0.0110000,1.0000000,0.00000,4.50000,-10.40000
8.398173,-0.0000000,-0.0610000,0.0000000,0.0010000,-0.0120000,0.9960000,0.00000,4.40000,-10.50000
8.448088,-0.0000000,-0.0000000,0.0000000,-0.0020000,-0.0110000,0.9990000,0.00000,4.20000,-10.40000
8.497751,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0120000,0.9980000,0.00000,4.20000,-10.50000
8.547903,-0.0000000,-0.0000000,0.0000000,0.0040000,-0.0110000,0.9950000,0.20000,4.30000,-10.40000
8.598962,-0.2440000,-0.0610000,0.0610000,0.0010000,-0.0160000,0.9980000,0.00000,4.40000,-10.50000
8.647002,-0.0000000,-0.0000000,0.0610000,-0.0000000,-0.0110000,0.9950000,0.00000,4.40000,-10.50000
8.697473,0.1220000,-0.0000000,0.1220000,0.0010000,-0.0120000,0.9970000,0.00000,4.50000,-10.60000
8.747427,-0.0000000,-0.0000000,0.1220000,-0.0010000,-0.0120000,1.0020000,0.00000,4.50000,-10.70000
8.797277,-0.0000000,-0.0000000,0.1830000,0.0000000,-0.0090000,0.9960000,0.10000,4.50000,-10.70000
8.847398,-0.0000000,-0.0000000,0.0610000,0.0020000,-0.0120000,0.9970000,0.10000,4.60000,-10.50000
8.897336,0.0610000,-0.0000000,0.0610000,-0.0010000,-0.0100000,0.9960000,0.10000,4.50000,-10.50000
8.947221,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9970000,0.00000,4.50000,-10.40000
8.996796,-0.0000000,-0.0000000,0.0000000,0.0020000,-0.0120000,0.9980000,0.10000,4.30000,-10.60000
9.046797,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9950000,0.00000,4.30000,-10.50000
9.096492,-0.0000000,0.0610000,0.0000000,0.0000000,-0.0120000,1.0000000,0.00000,4.50000,-10.50000
9.146566,0.0610000,-0.0000000,0.0000000,0.0020000,-0.0100000,0.9960000,0.00000,4.30000,-10.50000
9.195675,0.0610000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9960000,0.00000,4.40000,-10.50000
9.246119,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0110000,0.9980000,0.20000,4.40000,-10.50000
9.296308,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0120000,0.9960000,0.00000,4.40000,-10.60000
9.345953,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0110000,0.9970000,0.00000,4.40000,-10.50000
9.398282,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9980000,0.10000,4.50000,-10.50000
9.448480,0.0610000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9970000,0.00000,4.40000,-10.50000
9.495445,-0.0000000,-0.1220000,0.0000000,0.0040000,-0.0160000,0.9960000,0.00000,4.50000,-10.40000
9.552308,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9950000,0.10000,4.50000,-10.50000
9.596775,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0110000,0.9990000,0.10000,4.40000,-10.60000
9.654155,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0100000,0.9980000,0.00000,4.40000,-10.70000
9.694928,-0.0000000,-0.0000000,0.0000000,0.0030000,-0.0110000,0.9950000,0.10000,4.50000,-10.60000
9.744903,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9980000,0.00000,4.50000,-10.60000
9.794743,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9980000,0.00000,4.40000,-10.50000
9.844561,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9980000,0.10000,4.40000,-10.60000
9.894732,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0110000,0.9970000,0.10000,4.40000,-10.50000
9.943777,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9960000,0.00000,4.40000,-10.50000
9.995492,-0.0000000,-0.0000000,0.0000000,0.0020000,-0.0110000,0.9970000,0.20000,4.40000,-10.70000
10.044165,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0120000,0.9960000,0.00000,4.40000,-10.70000
10.093912,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0120000,0.9960000,0.10000,4.40000,-10.60000
10.143927,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0130000,0.9980000,0.10000,4.30000,-10.70000
10.196654,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9970000,0.20000,4.40000,-10.60000
10.243635,-0.0000000,-0.0000000,0.0000000,-0.0010000,-0.0120000,0.9960000,0.00000,4.50000,-10.60000
10.293824,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9970000,0.00000,4.50000,-10.50000
10.351449,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0100000,0.9980000,0.00000,4.50000,-10.60000
10.393258,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0120000,0.9960000,-0.20000,4.30000,-10.40000
10.444741,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9970000,-0.10000,4.40000,-10.50000
10.493346,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9990000,0.00000,4.40000,-10.50000
10.542791,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9950000,0.10000,4.50000,-10.50000
10.592985,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0100000,0.9970000,0.00000,4.40000,-10.60000
10.643247,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0090000,0.9970000,0.00000,4.30000,-10.50000
10.692586,-0.0000000,-0.0000000,0.0000000,0.0000000,-0.0100000,0.9940000,0.00000,4.30000,-10.50000
10.742342,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9960000,-0.10000,4.40000,-10.40000
10.792534,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9960000,0.00000,4.50000,-10.30000
10.847897,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9990000,0.00000,4.40000,-10.40000
10.893225,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0120000,0.9960000,0.00000,4.60000,-10.50000
10.941465,-0.0000000,-0.0000000,0.0000000,-0.0000000,-0.0110000,0.9970000,0.00000,4.60000,-10.50000
10.994199,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9980000,-0.20000,4.40000,-10.50000
11.041744,-0.0000000,-0.0000000,0.0000000,0.0010000,-0.0110000,0.9960000,0.00000,4.50000,-10.70000
